account,date,daily_pnl,trade_count,avg_trade_size,long_count,short_count,win_trades,win_rate,long_short_ratio,is_profitable,value,classification,sentiment
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-08,3710.36178,49,3961.183673469388,27,22,45,0.9183673469387755,1.173913043478261,1,70.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-13,3944.7294389999997,50,14203.88,3,47,47,0.94,0.0625,1,61.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-14,104.68064,9,4574.844444444444,4,5,4,0.4444444444444444,0.6666666666666666,1,63.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-18,-3249.381438,33,480.71515151515155,23,10,7,0.21212121212121213,2.090909090909091,0,77.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-20,16210.341667,409,2948.836185819071,190,219,395,0.9657701711491442,0.8636363636363636,1,76.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-22,548.62199,35,3714.8,1,34,34,0.9714285714285714,0.02857142857142857,1,84.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-24,3540.716915,137,3866.102189781022,53,84,129,0.9416058394160584,0.6235294117647059,1,75.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-27,2582.715893,128,7758.6875,99,29,122,0.953125,3.3,1,71.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-28,1150.332823,37,182003.62162162163,3,34,34,0.918918918918919,0.08571428571428572,1,72.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-29,45.381082,36,86506.22222222222,8,28,28,0.7777777777777778,0.27586206896551724,1,72.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-30,5049.257348,134,10318.567164179105,62,72,110,0.8208955223880597,0.8493150684931506,1,70.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-01-31,6216.099195999999,172,17207.048837209302,92,80,120,0.6976744186046512,1.1358024691358024,1,76.0,Extreme Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-01,9609.447365,148,42093.36148648649,114,34,114,0.7702702702702703,3.257142857142857,1,68.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-03,14982.681725,351,34685.58337891738,100,251,263,0.7492877492877493,0.3968253968253968,1,44.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-04,1985.815595,76,5234.8421052631575,2,74,74,0.9736842105263158,0.02666666666666667,1,72.0,Greed,Greed
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-05,14.590934,20,3200.43,5,15,15,0.75,0.3125,1,54.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-06,2055.538866,73,365.05753424657536,40,33,20,0.273972602739726,1.1764705882352942,1,49.0,Neutral,Neutral
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-07,2648.450789,58,275251.2068965517,6,52,41,0.7068965517241379,0.11320754716981132,1,44.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-08,235.47104,2,525605.0,1,1,1,0.5,0.5,1,44.0,Fear,Fear
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-09,627.556755,71,52598.140845070426,66,5,66,0.9295774647887324,11.0,1,46.0,Neutral,Neutral
